NtIsProcessInJob	0x0097
NtIsSystemResumeAutomatic	0x0098
NtIsUILanguageComitted	0x0099
NtListTransactions	
NtListenChannel	
NtListenPort	0x009a
NtLoadDriver	0x009b
NtLoadEnclaveData	
NtLoadHotPatch	
NtLoadKey	0x009c
NtLoadKey2	0x009d
NtLoadKeyEx	0x009e
NtLockFile	0x009f
NtLockProductActivationKeys	0x00a0
NtLockRegistryKey	0x00a1
NtLockVirtualMemory	0x00a2
NtMakePermanentObject	0x00a3
NtMakeTemporaryObject	0x00a4
NtManagePartition	
NtMapCMFModule	0x00a5
NtMapUserPhysicalPages	0x00a6
NtMapUserPhysicalPagesScatter	0x00a7
NtMapViewOfSection	0x00a8
NtMapViewOfSectionEx	
NtMarshallTransaction	
NtModifyBootEntry	0x00a9
NtModifyDriverEntry	0x00aa
NtNotifyChangeDirectoryFile	0x00ab
NtNotifyChangeDirectoryFileEx	
NtNotifyChangeKey	0x00ac
NtNotifyChangeMultipleKeys	0x00ad
NtNotifyChangeSession	0x00ae
NtOpenChannel	
NtOpenDirectoryObject	0x00af
NtOpenEnlistment	0x00b0
NtOpenEvent	0x00b1
NtOpenEventPair	0x00b2
NtOpenFile	0x00b3
NtOpenIoCompletion	0x00b4
NtOpenJobObject	0x00b5
NtOpenKey	0x00b6
NtOpenKeyEx	0x00b7
NtOpenKeyTransacted	0x00b9
NtOpenKeyTransactedEx	0x00ba
NtOpenKeyedEvent	0x00b8
NtOpenMutant	0x00bb
NtOpenObjectAuditAlarm	0x00bc
NtOpenPartition	
NtOpenPrivateNamespace	0x00bd
NtOpenProcess	0x00be
NtOpenProcessToken	0x00bf
NtOpenProcessTokenEx	0x00c0
NtOpenRegistryTransaction	
NtOpenResourceManager	0x00c1
NtOpenSection	0x00c2
NtOpenSemaphore	0x00c3
NtOpenSession	0x00c4
NtOpenSymbolicLinkObject	0x00c5
NtOpenThread	0x00c6
NtOpenThreadToken	0x00c7
NtOpenThreadTokenEx	0x00c8
NtOpenTimer	0x00c9
NtOpenTransaction	0x00ca
NtOpenTransactionManager	0x00cb
NtOpenWinStation	
NtPlugPlayControl	0x00cc
NtPowerInformation	0x00cd
NtPrePrepareComplete	0x00d0
NtPrePrepareEnlistment	0x00d1
NtPrepareComplete	0x00ce
NtPrepareEnlistment	0x00cf
NtPrivilegeCheck	0x00d2
NtPrivilegeObjectAuditAlarm	0x00d4
NtPrivilegedServiceAuditAlarm	0x00d3
NtPropagationComplete	0x00d5
NtPropagationFailed	0x00d6
NtProtectVirtualMemory	0x00d7
NtPullTransaction	
NtPulseEvent	0x00d8
NtQueryAttributesFile	0x00d9
NtQueryAuxiliaryCounterFrequency	
NtQueryBootEntryOrder	0x00da
NtQueryBootOptions	0x00db
NtQueryDebugFilterState	0x00dc
NtQueryDefaultLocale	0x00dd
NtQueryDefaultUILanguage	0x00de
NtQueryDirectoryFile	0x00df
NtQueryDirectoryFileEx	
NtQueryDirectoryObject	0x00e0
NtQueryDriverEntryOrder	0x00e1
NtQueryEaFile	0x00e2
NtQueryEvent	0x00e3
NtQueryFullAttributesFile	0x00e4
NtQueryInformationAtom	0x00e5
NtQueryInformationByName	
NtQueryInformationEnlistment	0x00e6
NtQueryInformationFile	0x00e7
NtQueryInformationJobObject	0x00e8
NtQueryInformationPort	0x00e9
NtQueryInformationProcess	0x00ea
NtQueryInformationResourceManager	0x00eb
NtQueryInformationThread	0x00ec
NtQueryInformationToken	0x00ed
NtQueryInformationTransaction	0x00ee
NtQueryInformationTransactionManager	0x00ef
NtQueryInformationWorkerFactory	0x00f0
NtQueryInstallUILanguage	0x00f1
NtQueryIntervalProfile	0x00f2
NtQueryIoCompletion	0x00f3
NtQueryKey	0x00f4
NtQueryLicenseValue	0x00f5
NtQueryMultipleValueKey	0x00f6
NtQueryMutant	0x00f7
NtQueryObject	0x00f8
NtQueryOleDirectoryFile	
NtQueryOpenSubKeys	0x00f9
NtQueryOpenSubKeysEx	0x00fa
NtQueryPerformanceCounter	0x00fb
NtQueryPortInformationProcess	0x00fc
NtQueryQuotaInformationFile	0x00fd
NtQuerySection	0x00fe
NtQuerySecurityAttributesToken	0x00ff
NtQuerySecurityObject	0x0100
NtQuerySecurityPolicy	
NtQuerySemaphore	0x0101
NtQuerySymbolicLinkObject	0x0102
NtQuerySystemEnvironmentValue	0x0103
NtQuerySystemEnvironmentValueEx	0x0104
